Location,Population,% ofworld,Date,Source (official or fromtheUnited Nations),Notes
American Samoa(US),"49,710",0.0006%,1 Apr 2020,2020 census result[226],
Northern Mariana Islands(US),"47,329",0.0006%,1 Apr 2020,2020 census result[227],
Marshall Islands,"42,418",0.0005%,30 Sep 2021,2021 Census[228],
Sint Maarten(Netherlands),"41,349",0.0005%,1 Jan 2025,Official estimate[229],
Liechtenstein,"41,237",0.0005%,31 Dec 2025,National estimate[230],
British Virgin Islands(UK),"39,471",0.0005%,1 Jul 2024,UN projection[3],
Monaco,"38,857",0.0005%,31 Dec 2025,Census[231],
Gibraltar(UK),"38,196",0.0005%,14 Nov 2022,Preliminary census results[232],
San Marino,"34,167",0.0004%,30 Jun 2026,Monthly national estimate[233],
Saint Martin(France),"31,496",0.0004%,1 Jan 2025,Official estimate[234],
Palau,"16,733",0.0002%,1 Jul 2021,2021 Census[235],
Anguilla(UK),"16,010",0.0002%,31 Dec 2024,Official estimate[236],
Cook Islands(New Zealand),"15,040",0.0002%,1 Jul 2021,2021 Census[237],
Nauru,"11,680",0.0001%,30 Oct 2021,2021 Census[238],
Wallis and Futuna(France),"11,620",0.0001%,24 Jul 2023,2023 Census[239],
Tuvalu,"10,643",0.0001%,12 Dec 2022,2022 Census[240],
Saint Barthélemy(France),"10,562",0.0001%,1 Jan 2025,Official estimate[234],
Saint Pierre and Miquelon(France),"5,819",0%,1 Jan 2025,Official estimate[234],
"Saint Helena, Ascension and Tristan da Cunha(UK)","5,651",0%,1 Jul 2021,2021 Census[241][242][243],
Montserrat(UK),"4,386",0%,23 Sep 2023,2023 census result[244],
Falkland Islands(UK),"3,662",0%,10 Oct 2021,2021 census result[245],
Tokelau(New Zealand),"2,608",0%,1 Jan 2025,2025 Census[246],
Norfolk Island(Australia),"2,188",0%,1 Jan 2021,2021 Census[247],
Christmas Island(Australia),"1,692",0%,1 Jan 2021,2021 Census[248],
Niue(New Zealand),"1,681",0%,11 Nov 2022,2022 Census[249],
Vatican City,882,0%,31 Dec 2024,Official figure[250],[ah]
Cocos (Keeling) Islands(Australia),593,0%,30 Jun 2020,2021 Census[251],
Pitcairn Islands(UK),40,0%,1 Jul 2023,Official estimate[252],
vteLists of countriesbypopulation statistics,,,,,
Global,Current populationUnited NationsDemographics of the world,,,,
Continents/subregions,AfricaAntarcticaAsiaEuropeNorth AmericaCaribbeanOceaniaSouth America,,,,
Intercontinental,AmericasArab worldCommonwealth of NationsEurasiaEuropean UnionIslandsLatin AmericaMiddle East,,,,
Cities/urban areas,World citiesNational capitalsMegacitiesMegalopolises,,,,
Past and future,Past and future populationEstimates of historical world populationHuman population projections110001500160017001800190019391989200020052010201520202025Population milestones,,,,
Population density,Current densityPast and future population densityPerson-to-arable land ratio,,,,
Growth indicators,Population growth rateNatural increaseNet reproduction rateNumber of birthsNumber of deathsBirth rateMortality rateFertility ratePast fertility rate,,,,
Life expectancy,WorldAfricaAsiaEuropeNorth AmericaOceaniaSouth Americaworld regionspast life expectancy,,,,
Otherdemographics,Age at childbearingAge at first marriageAge structureDependency ratioDivorce rateEthnic and cultural diversity levelEthnic compositionImmigrant populationLinguistic diversityMedian ageNet migration rateNumber of householdsReligion/IrreligionSex ratioUrban populationUrbanization,,,,
Health,Antidepressant consumptionAntiviral medications for pandemic influenzaHIV/AIDS adult prevalence rateInfant and under-five mortality ratesMaternal mortality rateObesity ratePercentage suffering from undernourishmentHealth expenditure by country by type of financingSuicide rateTotal health expenditure per capitaHealth spending as% of GDPBody mass index(BMI),,,,
Education and innovation,Bloomberg Innovation IndexEducation IndexGlobal Innovation IndexInternational Innovation IndexLiteracy rateProgramme for the International Assessment of Adult CompetenciesProgramme for International Student Assessment(PISA)Progress in International Reading Literacy Study(PIRLS)Trends in International Mathematics and Science Study(TIMSS)Tertiary education attainmentWorld Intellectual Property Indicators,,,,
Economic,Access to financial servicesDevelopment aid donorsOfficial Development Assistance receivedEmployment rateIrrigated land areaHuman Development Indexby countryinequality-adjustedplanetary pressures–adjusted HDIHuman Poverty IndexImportsExportsIncome inequalityLabour forceShare of income of top 1%Number of millionaires (US dollars)Number of billionaires (US dollars)Percentage living in povertyPublic sectorUnemployment rateWealth inequality,,,,
List of international rankingsLists by country,,,,,
vteWorld,,,,,
AfghanistanAlbaniaAlgeriaAndorraAngolaAntigua and BarbudaArgentinaArmeniaAustraliaAustriaAzerbaijanBahamasBahrainBangladeshBarbadosBelarusBelgiumBelizeBeninBhutanBoliviaBosnia and HerzegovinaBotswanaBrazilBruneiBulgariaBurkina FasoBurundiCambodiaCameroonCanadaCape VerdeCentral African RepublicChadChileChinaColombiaComorosCosta RicaCroatiaCubaCyprusCzech RepublicDemocratic Republic of the CongoDenmarkDjiboutiDominicaDominican RepublicEcuadorEgyptEl SalvadorEquatorial GuineaEritreaEstoniaEswatiniEthiopiaFederated States of MicronesiaFijiFinlandFranceGabonGambiaGeorgiaGermanyGhanaGreeceGrenadaGuatemalaGuineaGuinea-BissauGuyanaHaitiHondurasHungaryIcelandIndiaIndonesiaIranIraqIrelandIsraelItalyIvory CoastJamaicaJapanJordanKazakhstanKenyaKiribatiKosovoKuwaitKyrgyzstanLaosLatviaLebanonLesothoLiberiaLibyaLiechtensteinLithuaniaLuxembourgMadagascarMalawiMalaysiaMaldivesMaliMaltaMarshall IslandsMauritaniaMauritiusMexicoMoldovaMonacoMongoliaMontenegroMoroccoMozambiqueMyanmarNamibiaNauruNepalNetherlandsNew ZealandNicaraguaNigerNigeriaNorth KoreaNorth MacedoniaNorwayOmanPakistanPalauPalestinePanamaPapua New GuineaParaguayPeruPhilippinesPolandPortugalQatarRepublic of the CongoRomaniaRussiaRwandaSaint Kitts and NevisSaint LuciaSaint Vincent and the GrenadinesSamoaSan MarinoSaudi ArabiaSenegalSerbiaSeychellesSierra LeoneSingaporeSlovakiaSloveniaSolomon IslandsSomaliaSouth AfricaSouth KoreaSouth SudanSpainSri LankaSudanSurinameSwedenSwitzerlandSyriaSão Tomé and PríncipeTaiwanTajikistanTanzaniaThailandTimor-LesteTogoTongaTrinidad and TobagoTunisiaTurkeyTurkmenistanTuvaluUgandaUkraineUnited Arab EmiratesUnited KingdomUnited StatesUruguayUzbekistanVanuatuVatican CityVenezuelaVietnamWestern SaharaYemenZambiaZimbabwe,,,,,
